,Affiliation,Year,Cpu,Cores,Nodes,Memory,Nets,Linpack,Peak,GRPperCapita,Num of Systems,Q1,Q2,Q3,Q4,Top10
164,ИПМ им. М.В.Келдыша РАН,2013,128.0,3456.0,64.0,6144.0,32.0,41.14,107.9,980986.6,1,18,20,60,51,10
165,Курчатовский институт,2013,3600.0,18080.0,512.0,6769.664000000001,41.0,195.89,291.82,980986.6,3,186,127,169,168,114
166,МГУ,2013,15720.0,95660.0,6832.0,97848.288,22.5,973.08,1788.06,980986.6,3,1555,865,1278,1841,1035
167,МФТИ,2013,448.0,3584.0,224.0,14336.0,10.0,70.12,83.15,359047.3,1,356,193,239,231,251
168,НГУ,2013,524.0,2512.0,258.0,7107.376,10.0,17.32,27.52,300522.5,1,496,252,297,342,354
169,ННГУ,2013,120.0,3040.0,60.0,3932.1600000000003,10.0,51.86,103.31,281581.1,1,102,98,159,193,49
170,ПГНИУ,2013,16.0,752.0,8.0,512.0,56.25,13.53,21.48,334027.2,1,38,25,35,80,21
171,СВФУ,2013,320.0,1920.0,160.0,7864.32,10.0,20.21,23.5,597037.4,1,14,13,20,24,10
172,СПбГУ,2013,48.0,1536.0,24.0,2359.2960000000003,10.0,17.66,40.14,490440.5,1,554,321,453,614,313
173,ТГУ,2013,1280.0,5424.0,640.0,12091.392,10.0,47.88,62.35,377218.0,1,93,58,191,135,59
174,УГАТУ,2013,550.0,2268.0,275.0,4046.848,2.5,15.33,23.67,286131.7,1,31,7,33,52,20
175,ЮУрГУ,2013,1856.0,22848.0,192.0,6144.0,70.0,247.15,354.46,252988.8,2,19,19,30,85,3
176,ЮФУ,2013,518.0,2072.0,131.0,4120.0,20.0,14.51,18.84,215923.2,1,90,88,131,163,44
177,ИВМиМГ СО РАН,2014,656.0,5088.0,328.0,9437.184000000001,20.0,60.13,115.7,332683.2,2,8,4,36,53,2
178,ИДСТУ СО РАН,2014,220.0,3520.0,110.0,7040.0,10.0,25.12,33.7,379171.6,1,2,5,17,15,0
179,ИММ УРО РАН,2014,92.0,6184.0,46.0,4521.984,20.0,109.88,225.85,383847.2,1,7,8,55,82,3
180,ИПА РАН,2014,80.0,1680.0,40.0,2560.0,56.25,65.53,106.91,515556.9,1,0,1,5,5,0
181,ИПМ им. М.В.Келдыша РАН,2014,128.0,3456.0,64.0,6144.0,32.0,41.14,107.9,1051559.6,1,17,24,50,82,1
182,Курчатовский институт,2014,3600.0,18080.0,512.0,6769.664000000001,41.0,195.89,291.82,1051559.6,3,234,132,211,174,153
183,МГУ,2014,15976.0,102060.0,7088.0,106236.89600000001,78.75,1292.8799999999999,2211.46,1051559.6,4,1647,916,1471,1805,972
184,МИСиС,2014,128.0,1024.0,64.0,2816.0,56.25,18.09,21.25,1051559.6,1,238,86,182,269,166
185,МФТИ,2014,448.0,3584.0,224.0,14336.0,10.0,70.12,83.15,381892.9,1,538,289,301,305,369
186,ННГУ,2014,360.0,31360.0,180.0,12451.84,66.25,301.52000000000004,548.03,308152.1,2,231,164,234,204,132
187,СВФУ,2014,320.0,1920.0,160.0,7864.32,10.0,20.21,23.5,688540.1,1,38,34,56,38,16
188,СПбГУ,2014,48.0,1536.0,24.0,2359.2960000000003,10.0,17.66,40.14,515556.9,1,642,464,614,714,331
189,ТГУ,2014,1280.0,5424.0,640.0,12091.392,10.0,47.88,62.35,401259.7,1,293,172,393,509,181
190,ФГУП ЦНИИ Крылова,2014,290.0,3610.0,145.0,9280.0,10.0,32.04,56.15,515556.9,1,3,2,10,16,3
191,ЮУрГУ,2014,2240.0,36864.0,384.0,9437.184000000001,70.0,388.54999999999995,591.28,284486.7,2,19,19,60,105,14
192,ИВМиМГ СО РАН,2015,80.0,2400.0,40.0,3932.16,10.0,38.21,85.69,370895.7,1,5,12,56,65,2
193,ИДСТУ СО РАН,2015,220.0,3520.0,110.0,7040.0,10.0,25.12,33.7,414986.5,1,7,15,25,25,1
194,ИММ УРО РАН,2015,92.0,6184.0,46.0,4521.984,20.0,109.88,225.85,421100.7,1,8,17,36,90,3
195,ИПА РАН,2015,80.0,1680.0,40.0,2560.0,56.25,85.34,106.91,650339.7,1,5,2,9,4,0
196,ИПМ им. М.В.Келдыша РАН,2015,128.0,3456.0,64.0,6144.0,32.0,41.14,107.9,1102496.4,1,35,53,66,102,6
197,Курчатовский институт,2015,4374.0,29162.0,899.0,56305.664000000004,97.25,570.02,792.37,1102496.4,4,316,221,228,192,133
198,МГУ,2015,14952.0,124588.0,8112.0,179768.288,68.75,2798.2200000000003,4336.08,1102496.4,3,1809,1242,1861,1929,872
199,МИСиС,2015,200.0,1600.0,100.0,4352.0,56.25,28.14,33.28,1102496.4,1,298,169,303,338,153
200,МФТИ,2015,448.0,3584.0,224.0,14336.0,10.0,70.12,83.15,437249.1,1,660,393,399,333,268
201,ННГУ,2015,360.0,30760.0,180.0,11796.480000000003,10.0,289.5,573.0,338304.4,1,275,260,387,260,100
202,СПбГПУ,2015,1680.0,35296.0,968.0,50432.0,112.5,828.61,1088.13,650339.7,2,404,323,480,444,193
203,ТГУ,2015,1280.0,5424.0,640.0,12091.392,10.0,47.88,62.35,438316.5,1,552,385,725,738,251
204,ФГУП ЦНИИ Крылова,2015,290.0,3610.0,145.0,9280.0,10.0,32.04,56.15,650339.7,1,2,0,13,14,0
205,ЮУрГУ,2015,2240.0,36864.0,384.0,9437.184000000001,70.0,388.54999999999995,591.28,345597.1,2,25,131,116,174,10
206,ИВМиМГ СО РАН,2016,80.0,2400.0,40.0,3932.16,10.0,38.21,85.69,391438.4,1,10,22,60,58,4
207,ИММ УРО РАН,2016,92.0,6184.0,46.0,4521.984,20.0,109.88,225.85,456860.2,1,8,16,69,107,3
208,ИПА РАН,2016,80.0,1680.0,40.0,2560.0,56.25,85.34,106.91,712303.6,1,1,2,10,5,0
209,ИПМ им. М.В.Келдыша РАН,2016,128.0,3456.0,64.0,6144.0,32.0,41.14,107.9,1157373.0,1,23,30,135,88,11
210,Курчатовский институт,2016,3806.0,35770.0,615.0,70400.0,133.5,926.34,1359.1000000000001,1157373.0,4,272,223,360,274,194
211,МГУ,2016,15144.0,130156.0,8304.0,192056.288,68.75,3051.2200000000003,4722.51,1157373.0,3,1872,1393,2249,2068,1080
212,МФТИ,2016,448.0,3584.0,224.0,14336.0,10.0,70.12,83.15,483683.3,1,629,362,557,379,389
213,ННГУ,2016,360.0,30760.0,180.0,11796.480000000003,10.0,289.5,573.0,363327.8,1,213,251,394,299,78
214,СПбГПУ,2016,1680.0,35296.0,968.0,50432.0,112.5,828.61,1088.13,712303.6,2,407,284,573,447,262
215,ТГУ,2016,1330.0,6384.0,665.0,22768.0,10.0,78.29,106.82,451823.9,1,595,378,768,800,329
